athleteName,clubName,countryName,source
Samuel Mills (footballer),Arsenal F.C.,United Kingdom,DBpedia
Sean Clohessy,Arsenal F.C.,United Kingdom,DBpedia
Arthur Wileman,Chelsea F.C.,England,DBpedia
Joe Fidler,Arsenal F.C.,United Kingdom,DBpedia
Colin Hampton,Chelsea F.C.,United Kingdom,DBpedia
"Tommy Miller (footballer, born 1882)",Chelsea F.C.,United Kingdom,DBpedia
Harrison Sodje,Chelsea F.C.,United Kingdom,DBpedia
David Rocastle,Chelsea F.C.,United Kingdom,DBpedia
David Rocastle,Arsenal F.C.,United Kingdom,DBpedia
Charlie George,Arsenal F.C.,United Kingdom,DBpedia
David Sadler (footballer),Manchester United F.C.,United Kingdom,DBpedia
Pål Lydersen,Arsenal F.C.,Norway,DBpedia
Arthur Potts (footballer),Manchester United F.C.,England,DBpedia
Arthur Hooper,Manchester United F.C.,United Kingdom,DBpedia
Jean-Yves Anis,Chelsea F.C.,Ivory Coast,DBpedia
Danny Granville,Arsenal F.C.,United Kingdom,DBpedia
Stephen Broad,Chelsea F.C.,United Kingdom,DBpedia
Benny Ashley-Seal,Arsenal F.C.,United Kingdom,DBpedia
Andy Neil (footballer),Arsenal F.C.,United Kingdom,DBpedia
Alexander Hleb,Arsenal F.C.,Belarus,DBpedia
Alf Farman,Manchester United F.C.,United Kingdom,DBpedia
Tim Howard,Manchester United F.C.,United States,DBpedia
Myles Weston,Arsenal F.C.,United Kingdom,DBpedia
Dick Holden,Manchester United F.C.,United Kingdom,DBpedia
Hubert Redwood,Manchester United F.C.,United Kingdom,DBpedia
Eric Oakton,Chelsea F.C.,United Kingdom,DBpedia
Sadiq El Fitouri,Manchester United F.C.,Libya,DBpedia
Miroslav Stoch,Chelsea F.C.,Slovakia,DBpedia
Omari Forson,Manchester United F.C.,United Kingdom,DBpedia
Dan Lewis (footballer),Arsenal F.C.,United Kingdom,DBpedia
Eddie Clamp,Arsenal F.C.,United Kingdom,DBpedia
"David Price (footballer, born 1955)",Arsenal F.C.,United Kingdom,DBpedia
David Ryan (footballer),Manchester United F.C.,United Kingdom,DBpedia
Eric Whitington,Chelsea F.C.,United Kingdom,DBpedia
Ernie Wallington,Arsenal F.C.,United Kingdom,DBpedia
Ted Dalton,Manchester United F.C.,United Kingdom,DBpedia
"James Wilson (footballer, born 1995)",Manchester United F.C.,United Kingdom,DBpedia
Danny Winter,Chelsea F.C.,United Kingdom,DBpedia
Sylvan Anderton,Chelsea F.C.,United Kingdom,DBpedia
Sydney Bathgate,Chelsea F.C.,United Kingdom,DBpedia
Mike Duxbury,Manchester United F.C.,United Kingdom,DBpedia
Christopher Atherton,Chelsea F.C.,Northern Ireland,DBpedia
Danny Drinkwater,Chelsea F.C.,United Kingdom,DBpedia
Paul Tierney (footballer),Manchester United F.C.,United Kingdom,DBpedia
Bobby Bulch,Chelsea F.C.,United Kingdom,DBpedia
"John Millar (footballer, born 1966)",Chelsea F.C.,Scotland,DBpedia
Frank Morrad,Arsenal F.C.,United Kingdom,DBpedia
William Steer,Chelsea F.C.,United Kingdom,DBpedia
Casey Walls,Chelsea F.C.,United Kingdom,DBpedia
Manucho,Manchester United F.C.,Angola,DBpedia
Emmanuel Frimpong,Arsenal F.C.,Ghana,DBpedia
Kieran Richardson,Manchester United F.C.,United Kingdom,DBpedia
Eamon Dunphy,Manchester United F.C.,Republic of Ireland,DBpedia
Sékou Koné,Manchester United F.C.,Mali,DBpedia
Leslie Compton,Arsenal F.C.,United Kingdom,DBpedia
Gabriele Biancheri,Manchester United F.C.,United Kingdom,DBpedia
Jack Peddie,Manchester United F.C.,United Kingdom,DBpedia
Billy Heath,Arsenal F.C.,United Kingdom,DBpedia
Billy Dennis (English footballer),Manchester United F.C.,United Kingdom,DBpedia
Billy Redman,Manchester United F.C.,United Kingdom,DBpedia
"Billy Richards (footballer, born 1874)",Manchester United F.C.,United Kingdom,DBpedia
Graham Stuart (footballer),Chelsea F.C.,United Kingdom,DBpedia
Doug Farquhar,Arsenal F.C.,Scotland,DBpedia
Fred Blackman,Arsenal F.C.,United Kingdom,DBpedia
Jason Brissett,Arsenal F.C.,United Kingdom,DBpedia
Gary Micklewhite,Manchester United F.C.,United Kingdom,DBpedia
George Groves (footballer),Arsenal F.C.,United Kingdom,DBpedia
Neil Freeman (English footballer),Arsenal F.C.,United Kingdom,DBpedia
Wayne Goldthorpe,Arsenal F.C.,United Kingdom,DBpedia
Jo Kuffour,Arsenal F.C.,United Kingdom,DBpedia
Michael Twiss,Manchester United F.C.,United Kingdom,DBpedia
Paul Brooker,Chelsea F.C.,United Kingdom,DBpedia
Ryan Ford (footballer),Manchester United F.C.,United Kingdom,DBpedia
Adam Haywood,Arsenal F.C.,United Kingdom,DBpedia
Adam Birchall,Arsenal F.C.,United Kingdom,DBpedia
Roy Morton,Manchester United F.C.,United Kingdom,DBpedia
"Steve Jones (footballer, born 1960)",Manchester United F.C.,United Kingdom,DBpedia
Jordan Fowler,Arsenal F.C.,United Kingdom,DBpedia
"Joe Walton (footballer, born 1882)",Chelsea F.C.,United Kingdom,DBpedia
Eversley Mansfield,Manchester United F.C.,United Kingdom,DBpedia
George Barber (footballer),Chelsea F.C.,United Kingdom,DBpedia
John Sparrow (footballer),Chelsea F.C.,United Kingdom,DBpedia
Jimmy Rimmer,Manchester United F.C.,United Kingdom,DBpedia
Sergio Reguilón,Manchester United F.C.,Spain,DBpedia
DJ Buffonge,Arsenal F.C.,United Kingdom,DBpedia
Albert Thain,Chelsea F.C.,United Kingdom,DBpedia
"Peter Simpson (footballer, born 1945)",Arsenal F.C.,United Kingdom,DBpedia
Ángelo Henríquez,Manchester United F.C.,Chile,DBpedia
Fred Chaplin (footballer),Arsenal F.C.,United Kingdom,DBpedia
"Frank Gill (footballer, born 1948)",Manchester United F.C.,United Kingdom,DBpedia
"Frank Williams (footballer, born 1908)",Manchester United F.C.,United Kingdom,DBpedia
"Fred Jones (footballer, born 1867)",Manchester United F.C.,United Kingdom,DBpedia
Tony Whelan,Manchester United F.C.,United Kingdom,DBpedia
Jack Flanagan (footballer),Manchester United F.C.,United Kingdom,DBpedia
Jack Howarth (footballer),Chelsea F.C.,United Kingdom,DBpedia
"Jimmy Whitehouse (footballer, born 1873)",Manchester United F.C.,United Kingdom,DBpedia
"Robert Stevenson (footballer, born 1869)",Arsenal F.C.,United Kingdom,DBpedia
Walter Spratt,Chelsea F.C.,United Kingdom,DBpedia
Oğuzhan Özyakup,Arsenal F.C.,Netherlands,DBpedia
Matt Holland,Arsenal F.C.,United Kingdom,DBpedia
Jim Will,Arsenal F.C.,Scotland,DBpedia
Dean Furman,Chelsea F.C.,South Africa,DBpedia
Jimmy Aggrey,Chelsea F.C.,United Kingdom,DBpedia
Albert Young (footballer),Arsenal F.C.,United Kingdom,DBpedia
"Paul Gorman (footballer, born 1963)",Arsenal F.C.,Republic of Ireland,DBpedia
Jack Carmichael,Arsenal F.C.,United Kingdom,DBpedia
Sam Byrne (footballer),Manchester United F.C.,Republic of Ireland,DBpedia
Ben Butler (footballer),Arsenal F.C.,United Kingdom,DBpedia
Mukhtar Ali,Chelsea F.C.,Saudi Arabia,DBpedia
Alejandro Garnacho,Chelsea F.C.,Spain,DBpedia
David Datro Fofana,Chelsea F.C.,Ivory Coast,DBpedia
Declan Rice,Arsenal F.C.,United Kingdom,DBpedia
Filip Jörgensen,Chelsea F.C.,Sweden,DBpedia
Jorrel Hato,Chelsea F.C.,Netherlands,DBpedia
Kepa Arrizabalaga,Arsenal F.C.,Spain,DBpedia
Maldini Kacurri,Arsenal F.C.,United Kingdom,DBpedia
Kepa Arrizabalaga,Chelsea F.C.,Spain,DBpedia
"James Garner (footballer, born 2001)",Manchester United F.C.,United Kingdom,DBpedia
Nuno Tavares,Arsenal F.C.,Portugal,DBpedia
Evandro Brandão,Manchester United F.C.,Angola,DBpedia
Ashley Cole,Chelsea F.C.,United Kingdom,DBpedia
Mason Greenwood,Manchester United F.C.,United Kingdom,DBpedia
David Court (footballer),Arsenal F.C.,United Kingdom,DBpedia
Mal Donaghy,Chelsea F.C.,United Kingdom,DBpedia
Willie McDonald,Manchester United F.C.,Scotland,DBpedia
Wyn Davies,Manchester United F.C.,United Kingdom,DBpedia
Jan Novacki,Manchester United F.C.,United Kingdom,DBpedia
Bill Finlayson,Chelsea F.C.,United Kingdom,DBpedia
Malcolm Ebiowei,Chelsea F.C.,United Kingdom,DBpedia
Danny Webber,Manchester United F.C.,United Kingdom,DBpedia
Paolo Vernazza,Arsenal F.C.,United Kingdom,DBpedia
Amario Cozier-Duberry,Arsenal F.C.,United Kingdom,DBpedia
Adnan Januzaj,Manchester United F.C.,Belgium,DBpedia
Axel Tuanzebe,Manchester United F.C.,Democratic Republic of the Congo,DBpedia
Wilfried Zaha,Manchester United F.C.,Ivory Coast,DBpedia
Ashley Fletcher,Manchester United F.C.,United Kingdom,DBpedia
Glen Kamara,Arsenal F.C.,Finland,DBpedia
Ibane Bowat,Chelsea F.C.,United Kingdom,DBpedia
Harry Maguire,Manchester United F.C.,United Kingdom,DBpedia
"Jorginho (footballer, born December 1991)",Arsenal F.C.,Brazil,DBpedia
Jake Clarke-Salter,Chelsea F.C.,United Kingdom,DBpedia
"Jorginho (footballer, born December 1991)",Chelsea F.C.,Brazil,DBpedia
Joel Castro Pereira,Manchester United F.C.,Switzerland,DBpedia
Kayne Ramsay,Chelsea F.C.,England,DBpedia
Krystian Bielik,Arsenal F.C.,Poland,DBpedia
Thibaut Courtois,Chelsea F.C.,Belgium,Wikidata
John Terry,Chelsea F.C.,United Kingdom,Wikidata
Claudio Pizarro,Chelsea F.C.,Peru,Wikidata
William Foulke,Chelsea F.C.,United Kingdom of Great Britain and Ireland,Wikidata
Winston Bogarde,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Lucas Piazón,Chelsea F.C.,Brazil,Wikidata
Ken Monkou,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Radamel Falcao,Chelsea F.C.,Colombia,Wikidata
Fred Taylor,Chelsea F.C.,United Kingdom,Wikidata
Marko Marin,Chelsea F.C.,Germany,Wikidata
Robert Huth,Chelsea F.C.,German Democratic Republic,Wikidata
Carlton Cole,Chelsea F.C.,United Kingdom,Wikidata
Hernán Crespo,Chelsea F.C.,Argentina,Wikidata
Mikel John Obi,Chelsea F.C.,Nigeria,Wikidata
Christian Panucci,Chelsea F.C.,Italy,Wikidata
George Weah,Chelsea F.C.,Liberia,Wikidata
Ruud Gullit,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Raul Meireles,Chelsea F.C.,Portugal,Wikidata
Salomon Kalou,Chelsea F.C.,Ivory Coast,Wikidata
Vivian Woodward,Chelsea F.C.,United Kingdom,Wikidata
Branislav Ivanović,Chelsea F.C.,Serbia,Wikidata
Yuri Zhirkov,Chelsea F.C.,Russia,Wikidata
Claude Makelélé,Chelsea F.C.,Democratic Republic of the Congo,Wikidata
Paulo Ferreira,Chelsea F.C.,Portugal,Wikidata
Joe Cole,Chelsea F.C.,United Kingdom,Wikidata
Glen Johnson,Chelsea F.C.,United Kingdom,Wikidata
Eiður Guðjohnsen,Chelsea F.C.,Iceland,Wikidata
Khalid Boulahrouz,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Damien Duff,Chelsea F.C.,Ireland,Wikidata
Roberto Di Matteo,Chelsea F.C.,Switzerland,Wikidata
Robert Green,Chelsea F.C.,United Kingdom,Wikidata
Adrian Mutu,Chelsea F.C.,Romania,Wikidata
Ramires,Chelsea F.C.,Brazil,Wikidata
Filipe Morais,Chelsea F.C.,Portugal,Wikidata
Wayne Bridge,Chelsea F.C.,United Kingdom,Wikidata
Carlo Cudicini,Chelsea F.C.,Italy,Wikidata
Emerson Thome,Chelsea F.C.,Brazil,Wikidata
Tiago Mendes,Chelsea F.C.,Portugal,Wikidata
Brian Laudrup,Chelsea F.C.,Kingdom of Denmark,Wikidata
Scott Parker,Chelsea F.C.,United Kingdom,Wikidata
Eden Hazard,Chelsea F.C.,Belgium,Wikidata
Mark Hughes,Chelsea F.C.,United Kingdom,Wikidata
Hilário,Chelsea F.C.,Portugal,Wikidata
Tore André Flo,Chelsea F.C.,Norway,Wikidata
Nicolas Anelka,Chelsea F.C.,France,Wikidata
William Gallas,Chelsea F.C.,France,Wikidata
Gianfranco Zola,Chelsea F.C.,Italy,Wikidata
Alec Chamberlain,Chelsea F.C.,United Kingdom,Wikidata
Ray Lewington,Chelsea F.C.,United Kingdom,Wikidata
Siobhan Chamberlain,Chelsea F.C.,United Kingdom,Wikidata
Dunia Susi,Chelsea F.C.,United Kingdom,Wikidata
Claire Rafferty,Chelsea F.C.,United Kingdom,Wikidata
Anita Asante,Chelsea F.C.,United Kingdom,Wikidata
Eniola Aluko,Chelsea F.C.,United Kingdom,Wikidata
Ellen White,Chelsea F.C.,United Kingdom,Wikidata
Michael Ballack,Chelsea F.C.,Germany,Wikidata
Oscar,Chelsea F.C.,Brazil,Wikidata
Maniche,Chelsea F.C.,Portugal,Wikidata
Andriy Shevchenko,Chelsea F.C.,Ukraine,Wikidata
Frank Lampard,Chelsea F.C.,United Kingdom,Wikidata
Fernando Torres,Chelsea F.C.,Spain,Wikidata
Didier Drogba,Chelsea F.C.,Ivory Coast,Wikidata
Alex Rodrigo Dias da Costa,Chelsea F.C.,Brazil,Wikidata
Daniel Sturridge,Chelsea F.C.,United Kingdom,Wikidata
Jimmy Floyd Hasselbaink,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Marco Amelia,Chelsea F.C.,Italy,Wikidata
Juliano Belletti,Chelsea F.C.,Brazil,Wikidata
Gianluca Vialli,Chelsea F.C.,Italy,Wikidata
Ross Turnbull,Chelsea F.C.,United Kingdom,Wikidata
Ian Pearce,Chelsea F.C.,United Kingdom,Wikidata
John Harris,Chelsea F.C.,United Kingdom,Wikidata
Frode Grodås,Chelsea F.C.,Norway,Wikidata
Yūki Nagasato,Chelsea F.C.,Japan,Wikidata
Emmanuel Petit,Chelsea F.C.,France,Wikidata
Boudewijn Zenden,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Tal Ben Haim,Chelsea F.C.,Israel,Wikidata
Dave Beasant,Chelsea F.C.,United Kingdom,Wikidata
Victor Moses,Chelsea F.C.,Nigeria,Wikidata
Demba Ba,Chelsea F.C.,France,Wikidata
Jesper Grønkjær,Chelsea F.C.,Kingdom of Denmark,Wikidata
Glenn Hoddle,Chelsea F.C.,United Kingdom,Wikidata
Vinnie Jones,Chelsea F.C.,United Kingdom,Wikidata
Jimmy Greaves,Chelsea F.C.,United Kingdom,Wikidata
Eduardo Carvalho,Chelsea F.C.,Portugal,Wikidata
Nils Middelboe,Chelsea F.C.,Kingdom of Denmark,Wikidata
Scott Sinclair,Chelsea F.C.,United Kingdom,Wikidata
Josh McEachran,Chelsea F.C.,United Kingdom,Wikidata
Jared Borgetti,Chelsea F.C.,Mexico,Wikidata
Celestine Babayaro,Chelsea F.C.,Nigeria,Wikidata
Mineiro,Chelsea F.C.,Brazil,Wikidata
Sam Hutchinson,Chelsea F.C.,United Kingdom,Wikidata
George Graham,Chelsea F.C.,United Kingdom,Wikidata
Terry Venables,Chelsea F.C.,United Kingdom,Wikidata
Michael Mancienne,Chelsea F.C.,Seychelles,Wikidata
Albert Ferrer,Chelsea F.C.,Spain,Wikidata
Baba Rahman,Chelsea F.C.,Ghana,Wikidata
Dennis Wise,Chelsea F.C.,United Kingdom,Wikidata
Islam Feruz,Chelsea F.C.,Somalia,Wikidata
James Younghusband,Chelsea F.C.,Philippines,Wikidata
Anthony Grant,Chelsea F.C.,United Kingdom,Wikidata
Ron Harris,Chelsea F.C.,United Kingdom,Wikidata
Gus Poyet,Chelsea F.C.,Uruguay,Wikidata
Lianne Sanderson,Chelsea F.C.,United Kingdom,Wikidata
Magnus Hedman,Chelsea F.C.,Sweden,Wikidata
Ben Sahar,Chelsea F.C.,Israel,Wikidata
Ed de Goey,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Mikael Forssell,Chelsea F.C.,Finland,Wikidata
Peter Bonetti,Chelsea F.C.,United Kingdom,Wikidata
Jürgen Macho,Chelsea F.C.,Austria,Wikidata
Alec Cheyne,Chelsea F.C.,United Kingdom,Wikidata
Barry Bridges,Chelsea F.C.,United Kingdom,Wikidata
Frank Blunstone,Chelsea F.C.,United Kingdom,Wikidata
Slobodan Rajković,Chelsea F.C.,Serbia,Wikidata
Mario Stanić,Chelsea F.C.,Croatia,Wikidata
Filipe Luís,Chelsea F.C.,Brazil,Wikidata
Ray Wilkins,Chelsea F.C.,United Kingdom,Wikidata
Mario Melchiot,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Graeme Le Saux,Chelsea F.C.,United Kingdom,Wikidata
Chris Sutton,Chelsea F.C.,United Kingdom,Wikidata
Alexey Smertin,Chelsea F.C.,Russia,Wikidata
Pierluigi Casiraghi,Chelsea F.C.,Italy,Wikidata
Steve Clarke,Chelsea F.C.,United Kingdom,Wikidata
Jack Cork,Chelsea F.C.,United Kingdom,Wikidata
Kano,Chelsea F.C.,United Kingdom,Wikidata
Jiří Jarošík,Chelsea F.C.,Czech Republic,Wikidata
Diego Costa,Chelsea F.C.,Brazil,Wikidata
Alcides Araújo Alves,Chelsea F.C.,Brazil,Wikidata
Jackie Groenen,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Bobby Evans,Chelsea F.C.,United Kingdom,Wikidata
Petr Čech,Chelsea F.C.,Czech Republic,Wikidata
Gonzalo Higuaín,Chelsea F.C.,France,Wikidata
Lassana Diarra,Chelsea F.C.,France,Wikidata
Ji So-Yun,Chelsea F.C.,South Korea,Wikidata
Wallace Oliveira dos Santos,Chelsea F.C.,Brazil,Wikidata
Didier Deschamps,Chelsea F.C.,France,Wikidata
Kenny Swain,Chelsea F.C.,United Kingdom,Wikidata
Bob Gregg,Chelsea F.C.,United Kingdom,Wikidata
Serey Dié,Chelsea F.C.,Ivory Coast,Wikidata
Andy Townsend,Chelsea F.C.,Ireland,Wikidata
Graham Rix,Chelsea F.C.,United Kingdom,Wikidata
Sid Castle,Chelsea F.C.,United Kingdom,Wikidata
Colin Pates,Chelsea F.C.,United Kingdom,Wikidata
Dmitri Kharine,Chelsea F.C.,Russia,Wikidata
Mbark Boussoufa,Chelsea F.C.,Morocco,Wikidata
Ricardo Carvalho,Chelsea F.C.,Portugal,Wikidata
Duncan Shearer,Chelsea F.C.,United Kingdom,Wikidata
Roy Bentley,Chelsea F.C.,United Kingdom,Wikidata
Ben Gordon,Chelsea F.C.,United Kingdom,Wikidata
Duncan McKenzie,Chelsea F.C.,United Kingdom,Wikidata
Lee Sawyer,Chelsea F.C.,United Kingdom,Wikidata
Gary Chivers,Chelsea F.C.,United Kingdom,Wikidata
Clive Walker,Chelsea F.C.,United Kingdom,Wikidata
Charlie Cooke,Chelsea F.C.,United Kingdom,Wikidata
Momodou Ceesay,Chelsea F.C.,The Gambia,Wikidata
William Lewis,Chelsea F.C.,United Kingdom,Wikidata
Tom Boyd,Chelsea F.C.,United Kingdom,Wikidata
Frank Sinclair,Chelsea F.C.,United Kingdom,Wikidata
Deco,Chelsea F.C.,Brazil,Wikidata
Filipe Oliveira,Chelsea F.C.,Portugal,Wikidata
Willi Steffen,Chelsea F.C.,Switzerland,Wikidata
David Hopkin,Chelsea F.C.,United Kingdom,Wikidata
George Mills,Chelsea F.C.,United Kingdom,Wikidata
Jes Høgh,Chelsea F.C.,Kingdom of Denmark,Wikidata
Erland Johnsen,Chelsea F.C.,Norway,Wikidata
Kerry Dixon,Chelsea F.C.,United Kingdom,Wikidata
Nuno Morais,Chelsea F.C.,Portugal,Wikidata
Gordon Durie,Chelsea F.C.,United Kingdom,Wikidata
Clive Allen,Chelsea F.C.,United Kingdom,Wikidata
Ron Greenwood,Chelsea F.C.,United Kingdom,Wikidata
Enrique de Lucas,Chelsea F.C.,Spain,Wikidata
Tony Hateley,Chelsea F.C.,United Kingdom,Wikidata
Stewart Houston,Chelsea F.C.,United Kingdom,Wikidata
Gary Locke,Chelsea F.C.,United Kingdom,Wikidata
Ken Shellito,Chelsea F.C.,United Kingdom,Wikidata
Jack Kirwan,Chelsea F.C.,Ireland,Wikidata
Nigel Spackman,Chelsea F.C.,United Kingdom,Wikidata
Mike Fillery,Chelsea F.C.,United Kingdom,Wikidata
Graham Roberts,Chelsea F.C.,United Kingdom,Wikidata
Tommy Langley,Chelsea F.C.,United Kingdom,Wikidata
Tommy Lawton,Chelsea F.C.,United Kingdom,Wikidata
Derek Johnstone,Chelsea F.C.,United Kingdom,Wikidata
Tommy Docherty,Chelsea F.C.,United Kingdom,Wikidata
Bernard Lambourde,Chelsea F.C.,France,Wikidata
Muzzy Izzet,Chelsea F.C.,United Kingdom,Wikidata
Jody Morris,Chelsea F.C.,United Kingdom,Wikidata
Jimmy Smith,Chelsea F.C.,United Kingdom,Wikidata
Paul Parker,Chelsea F.C.,United Kingdom,Wikidata
Amin Affane,Chelsea F.C.,Sweden,Wikidata
Ben Warren,Chelsea F.C.,United Kingdom of Great Britain and Ireland,Wikidata
Bertrand Traoré,Chelsea F.C.,Burkina Faso,Wikidata
Bobby Campbell,Chelsea F.C.,United Kingdom,Wikidata
Lenny Pidgeley,Chelsea F.C.,United Kingdom,Wikidata
Charlie Thomson,Chelsea F.C.,United Kingdom,Wikidata
Tomáš Kalas,Chelsea F.C.,Czech Republic,Wikidata
Syd Bishop,Chelsea F.C.,United Kingdom,Wikidata
Billy Brown,Chelsea F.C.,United Kingdom,Wikidata
Bobby Smith,Chelsea F.C.,United Kingdom,Wikidata
Bobby Tambling,Chelsea F.C.,United Kingdom,Wikidata
Christian Atsu,Chelsea F.C.,Ghana,Wikidata
Joe Keenan,Chelsea F.C.,United Kingdom,Wikidata
Pat Nevin,Chelsea F.C.,United Kingdom,Wikidata
Slaviša Jokanović,Chelsea F.C.,Serbia,Wikidata
Eddie McCreadie,Chelsea F.C.,United Kingdom,Wikidata
Rati Aleksidze,Chelsea F.C.,Georgia,Wikidata
Hughie Gallacher,Chelsea F.C.,United Kingdom,Wikidata
Samuele Dalla Bona,Chelsea F.C.,Italy,Wikidata
Jacopo Sala,Chelsea F.C.,Italy,Wikidata
Michael Essien,Chelsea F.C.,Ghana,Wikidata
Piet de Visser,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Jakob Kjeldbjerg,Chelsea F.C.,Kingdom of Denmark,Wikidata
Marco Ambrosio,Chelsea F.C.,Italy,Wikidata
Gabriele Ambrosetti,Chelsea F.C.,Italy,Wikidata
Danny Philliskirk,Chelsea F.C.,United Kingdom,Wikidata
Conor Clifford,Chelsea F.C.,Ireland,Wikidata
Carl Magnay,Chelsea F.C.,United Kingdom,Wikidata
Chris Zoricich,Chelsea F.C.,New Zealand,Wikidata
John Tait Robertson,Chelsea F.C.,United Kingdom,Wikidata
Paul Elliott,Chelsea F.C.,United Kingdom,Wikidata
Craig Forrest,Chelsea F.C.,Canada,Wikidata
Tom Taiwo,Chelsea F.C.,United Kingdom,Wikidata
Eddie Newton,Chelsea F.C.,United Kingdom,Wikidata
Dave Mitchell,Chelsea F.C.,Australia,Wikidata
David Speedie,Chelsea F.C.,United Kingdom,Wikidata
David Webb,Chelsea F.C.,United Kingdom,Wikidata
Ken Armstrong,Chelsea F.C.,United Kingdom,Wikidata
Harry Burgess,Chelsea F.C.,United Kingdom,Wikidata
Samuel Eto'o,Chelsea F.C.,Cameroon,Wikidata
Eddie Niedzwiecki,Chelsea F.C.,United Kingdom,Wikidata
George Hilsdon,Chelsea F.C.,United Kingdom,Wikidata
John Hollins,Chelsea F.C.,United Kingdom,Wikidata
Milan Lalkovič,Chelsea F.C.,Slovakia,Wikidata
Rhys Taylor,Chelsea F.C.,United Kingdom,Wikidata
Roy Wegerle,Chelsea F.C.,South Africa,Wikidata
Micky Droy,Chelsea F.C.,United Kingdom,Wikidata
Alan Hudson,Chelsea F.C.,United Kingdom,Wikidata
Alex Jackson,Chelsea F.C.,United Kingdom,Wikidata
Len Dolding,Chelsea F.C.,United Kingdom,Wikidata
Nat Robinson,Chelsea F.C.,United Kingdom,Wikidata
Neil Clement,Chelsea F.C.,United Kingdom,Wikidata
George Hunter,Chelsea F.C.,United Kingdom of Great Britain and Ireland,Wikidata
Gustavo Lazzaretti,Chelsea F.C.,Brazil,Wikidata
Chris Hutchings,Chelsea F.C.,United Kingdom,Wikidata
Andrew Wilson,Chelsea F.C.,United Kingdom,Wikidata
Ian Hutchinson,Chelsea F.C.,United Kingdom,Wikidata
Jimmy Townley,Chelsea F.C.,United Kingdom,Wikidata
Joey Jones,Chelsea F.C.,United Kingdom,Wikidata
John Spencer,Chelsea F.C.,United Kingdom,Wikidata
Craig Rocastle,Chelsea F.C.,United Kingdom,Wikidata
Pop Robson,Chelsea F.C.,United Kingdom,Wikidata
Morten Nielsen,Chelsea F.C.,Kingdom of Denmark,Wikidata
Max Woosnam,Chelsea F.C.,United Kingdom,Wikidata
Marvin Hinton,Chelsea F.C.,United Kingdom,Wikidata
Max Seeburg,Chelsea F.C.,Germany,Wikidata
Mickey Thomas,Chelsea F.C.,United Kingdom,Wikidata
Ned Barkas,Chelsea F.C.,United Kingdom,Wikidata
Mike Adams,Chelsea F.C.,United Kingdom,Wikidata
Ernie Campbell,Chelsea F.C.,Australia,Wikidata
Joe Bambrick,Chelsea F.C.,United Kingdom,Wikidata
Peter Houseman,Chelsea F.C.,United Kingdom,Wikidata
Fred Richardson,Chelsea F.C.,United Kingdom,Wikidata
"Charles Bunyan, Jr.",Chelsea F.C.,United Kingdom,Wikidata
Sebastian Kneißl,Chelsea F.C.,Germany,Wikidata
Craig Burley,Chelsea F.C.,United Kingdom,Wikidata
Michael Duberry,Chelsea F.C.,United Kingdom,Wikidata
David Hay,Chelsea F.C.,United Kingdom,Wikidata
Eamonn Bannon,Chelsea F.C.,United Kingdom,Wikidata
Brian Turner,Chelsea F.C.,New Zealand,Wikidata
Harold Halse,Chelsea F.C.,United Kingdom,Wikidata
Robert Fleck,Chelsea F.C.,United Kingdom,Wikidata
Gerry Peyton,Chelsea F.C.,United Kingdom,Wikidata
Toon Effern,Chelsea F.C.,Kingdom of the Netherlands,Wikidata
Peter Sillett,Chelsea F.C.,United Kingdom,Wikidata
Jeffrey Ntuka,Chelsea F.C.,South Africa,Wikidata
Peter Nicholas,Chelsea F.C.,United Kingdom,Wikidata
Sergio Tejera,Chelsea F.C.,Spain,Wikidata
Terry Phelan,Chelsea F.C.,Ireland,Wikidata
Shaun Cummings,Chelsea F.C.,United Kingdom,Wikidata
Harold Brittan,Chelsea F.C.,United Kingdom,Wikidata
Alf Hanson,Chelsea F.C.,United Kingdom of Great Britain and Ireland,Wikidata
Allan Harris,Chelsea F.C.,United Kingdom,Wikidata
Allie Long,Chelsea F.C.,United States,Wikidata
Paul Bodin,Chelsea F.C.,United Kingdom,Wikidata
Billy Dodds,Chelsea F.C.,United Kingdom,Wikidata
Kevin Hitchcock,Chelsea F.C.,United Kingdom,Wikidata
Bobby Brown,Chelsea F.C.,United Kingdom,Wikidata
Jimmy Armstrong,Chelsea F.C.,United Kingdom,Wikidata
Cristian Cuevas,Chelsea F.C.,Chile,Wikidata
Eric Westwood,Chelsea F.C.,United Kingdom,Wikidata
Jim Lewis,Chelsea F.C.,United Kingdom,Wikidata
Joe Allon,Chelsea F.C.,United Kingdom,Wikidata
John Dempsey,Chelsea F.C.,Ireland,Wikidata
Keith Weller,Chelsea F.C.,United Kingdom,Wikidata
Leon Knight,Chelsea F.C.,United Kingdom,Wikidata
Michael Woods,Chelsea F.C.,United Kingdom,Wikidata
Ian Hamilton,Chelsea F.C.,United Kingdom,Wikidata
